# PRISMA — Prestige-ordered ingest list
# Generated by: pipeline/sources/ingest_priority.py
# Tier filter: all tiers  |  Mode: wins only
# Total candidates after catalog dedup: 570
# Output limit: 500
# Format: TMDB_ID  # Title (Year) — score: N.N  [Nw wins, Nn noms]
#
# Run:  python pipeline/queue_manager.py --add-list pipeline/sources/most_awarded_not_in_catalog.txt --source awards

981  # The Philadelphia Story (1940) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-adapted-screenplay]
821  # Judgment at Nuremberg (1961) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-adapted-screenplay]
10139  # Milk (2008) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-original-screenplay]
152532  # Dallas Buyers Club (2013) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-supporting-actor]
968  # Dog Day Afternoon (1975) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-original-screenplay]
38772  # Melvin and Howard (1980) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-original-screenplay, award_oscar-best-supporting-actress]
9281  # Witness (1985) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-original-screenplay, award_oscar-best-film-editing]
489  # Good Will Hunting (1997) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-original-screenplay, award_oscar-best-supporting-actor]
5279  # Gosford Park (2001) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-original-screenplay]
11881  # Miracle on 34th Street (1947) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-adapted-screenplay, award_oscar-best-supporting-actor]
891  # All the President's Men (1976) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-adapted-screenplay, award_oscar-best-supporting-actor]
777245  # Women Talking (2022) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-adapted-screenplay]
155  # The Dark Knight (2008) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-supporting-actor]
475  # Bonnie and Clyde (1967) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-supporting-actress]
2567  # The Aviator (2004) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-supporting-actress, award_oscar-best-film-editing]
916  # Bullitt (1968) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-film-editing]
500006  # U – July 22 (2018) — score: 6.00  [6 wins, 0 noms]  [award_sundance-grand-jury-drama]
916405  # The Quiet Girl (2022) — score: 6.00  [6 wins, 0 noms]  [award_sundance-grand-jury-drama]
980026  # The Promised Land (2023) — score: 6.00  [6 wins, 0 noms]  [award_sundance-grand-jury-drama]
3476  # That Most Important Thing: Love (1975) — score: 6.00  [10 wins, 0 noms]  [award_cesar-best-actress]
1933  # The Others (2001) — score: 5.40  [9 wins, 0 noms]  [award_goya-best-film]
10997  # Farewell My Concubine (1993) — score: 5.00  [5 wins, 0 noms]  [award_cannes-palme-dor]
665  # Ben-Hur (1959) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +2 more]
12102  # Kramer vs. Kramer (1979) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +2 more]
746  # The Last Emperor (1987) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay +2 more]
44214  # Black Swan (2010) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-actress]
491283  # Judy (2019) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-actress]
7345  # There Will Be Blood (2007) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-actor]
64  # Talk to Her (2002) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-original-screenplay]
419430  # Get Out (2017) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-original-screenplay]
515001  # Jojo Rabbit (2019) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-adapted-screenplay]
522  # Ed Wood (1994) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-supporting-actor]
4566  # Michael Clayton (2007) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-supporting-actress]
492188  # Marriage Story (2019) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-supporting-actress]
578  # Jaws (1975) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-film-editing]
324786  # Hacksaw Ridge (2016) — score: 5.00  [5 wins, 0 noms]  [award_oscar-best-film-editing]
220  # East of Eden (1955) — score: 4.80  [6 wins, 0 noms]  [award_oscar-best-supporting-actress, award_gg-best-film-drama]
804095  # The Fabelmans (2022) — score: 4.20  [7 wins, 0 noms]  [award_gg-best-film-drama]
59990  # O Pagador de Promessas (1962) — score: 4.00  [4 wins, 0 noms]  [award_cannes-palme-dor]
659  # The Tin Drum (1979) — score: 4.00  [4 wins, 0 noms]  [award_cannes-palme-dor, award_oscar-best-intl-film]
52556  # Yol (1982) — score: 4.00  [4 wins, 0 noms]  [award_cannes-palme-dor]
56164  # Cavalcade (1933) — score: 4.00  [4 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director]
43277  # The Great Ziegfeld (1936) — score: 4.00  [4 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-actress]
23383  # Hamlet (1948) — score: 4.00  [4 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-actor]
5769  # Tom Jones (1963) — score: 4.00  [4 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay +1 more]
453  # A Beautiful Mind (2001) — score: 4.00  [4 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay +1 more]
18254  # Reds (1981) — score: 4.00  [4 wins, 0 noms]  [award_oscar-best-director, award_oscar-best-supporting-actress]
